track_name,track_id,primary_artist,all_artists,album_name,album_type,release_date,duration_mins,explicit,album_art_url,spotify_url,release_year,duration_bucket,genre_bucket
Do Deewane Sheher Mein - Reprised,1kes4bOSlJ0CsGWEUgrHI9,Runa Laila,"Runa Laila, Bhupinder Singh, Jaidev, Gulzar, Jackie Vanjari",Do Deewane Seher Mein,single,2026-02-10,2.52,False,https://i.scdn.co/image/ab67616d0000b27318d55780f1e8de28232c449f,https://open.spotify.com/track/1kes4bOSlJ0CsGWEUgrHI9,2026,Standard,Other
Hare Hare,0mcSsWmXX7yfZFApkwMPao,TWICE,TWICE,DIVE,album,2024-07-17,3.39,False,https://i.scdn.co/image/ab67616d0000b27378e8c649cad4b29b6044737f,https://open.spotify.com/track/0mcSsWmXX7yfZFApkwMPao,2024,Standard,K-Pop
For A Reason,0cYohCh24y1aMjJmcS9RBl,Karan Aujla,"Karan Aujla, Ikky",P-POP CULTURE,album,2025-08-22,3.0,False,https://i.scdn.co/image/ab67616d0000b27389e8f71cb6f3b6cc60944858,https://open.spotify.com/track/0cYohCh24y1aMjJmcS9RBl,2025,Standard,Other
Bad Desire (With or Without You) (English Ver.),4N8IFzGERNBWoQyzYVYEoJ,ENHYPEN,ENHYPEN,DESIRE : UNLEASH,album,2025-06-05,2.36,False,https://i.scdn.co/image/ab67616d0000b273708e8e2fec0e67fbc69f6f9c,https://open.spotify.com/track/4N8IFzGERNBWoQyzYVYEoJ,2025,Short,K-Pop
I Need The Light,69mhZKG0nDbSK7NoINWEsE,ENHYPEN,ENHYPEN,I Need The Light,single,2022-08-12,3.09,False,https://i.scdn.co/image/ab67616d0000b273e5245e31f1351c75654b5e92,https://open.spotify.com/track/69mhZKG0nDbSK7NoINWEsE,2022,Standard,K-Pop
I Really Do...,2Dp6icDc5dvYnWvxZOjj75,Karan Aujla,"Karan Aujla, Ikky",P-POP CULTURE,album,2025-08-22,3.23,False,https://i.scdn.co/image/ab67616d0000b27389e8f71cb6f3b6cc60944858,https://open.spotify.com/track/2Dp6icDc5dvYnWvxZOjj75,2025,Standard,Other
Brought The Heat Back,3ivdlmTbUSv5JN9W8Tk9V1,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD,album,2024-07-12,2.94,False,https://i.scdn.co/image/ab67616d0000b273653887a83332de0350151f10,https://open.spotify.com/track/3ivdlmTbUSv5JN9W8Tk9V1,2024,Standard,K-Pop
Lost In Yesterday,5JWPUEov2wlX7c0jhYZpeB,Tame Impala,Tame Impala,The Slow Rush,album,2020-02-14,4.16,False,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB,2020,Long,Pop
Lucky Girl Syndrome,2kIUILBPlz4exX9xIFS275,ILLIT,ILLIT,SUPER REAL ME,single,2024-03-25,2.33,False,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,https://open.spotify.com/track/2kIUILBPlz4exX9xIFS275,2024,Short,K-Pop
ONE SPARK - Japanese ver.-,6fUFTobL7z8JCZfFGW59H5,TWICE,TWICE,#TWICE5,single,2025-05-14,3.06,False,https://i.scdn.co/image/ab67616d0000b273d4cbac56cea001cbc17526a6,https://open.spotify.com/track/6fUFTobL7z8JCZfFGW59H5,2025,Standard,K-Pop
XO (Only If You Say Yes),3RkSwrsIadAvqVtMp5yhaB,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD,album,2024-07-12,3.14,False,https://i.scdn.co/image/ab67616d0000b273653887a83332de0350151f10,https://open.spotify.com/track/3RkSwrsIadAvqVtMp5yhaB,2024,Standard,K-Pop
Tick-Tack,0znsc67nMhP4X9hjhvoyeP,ILLIT,ILLIT,I'LL LIKE YOU,single,2024-10-21,2.16,False,https://i.scdn.co/image/ab67616d0000b273fc2fffae3025fbc540b98f34,https://open.spotify.com/track/0znsc67nMhP4X9hjhvoyeP,2024,Short,K-Pop
Echoes,2HcdmAwTWL2zekEICHENEq,ENHYPEN,ENHYPEN,宵 -YOI-,single,2025-07-27,3.12,False,https://i.scdn.co/image/ab67616d0000b273ce82932fa89c71ba741739df,https://open.spotify.com/track/2HcdmAwTWL2zekEICHENEq,2025,Standard,K-Pop
Blockbuster feat. YEONJUN of TOMORROW X TOGETHER,08XshFxOo9rcQagObgcoK6,ENHYPEN,"ENHYPEN, YEONJUN",DIMENSION : DILEMMA,album,2021-10-12,3.79,False,https://i.scdn.co/image/ab67616d0000b2736772cf096be8acc1df092519,https://open.spotify.com/track/08XshFxOo9rcQagObgcoK6,2021,Long,K-Pop
Stealer,5EK13IYnr1NKdWDZhLDlBl,ENHYPEN,ENHYPEN,THE SIN : VANISH,album,2026-01-16,2.94,False,https://i.scdn.co/image/ab67616d0000b27392beb54472282ca313f34055,https://open.spotify.com/track/5EK13IYnr1NKdWDZhLDlBl,2026,Standard,K-Pop
What is Love?,5Ek40FyMPprcvtyZDjqylX,TWICE,TWICE,Summer Nights,album,2018-07-09,3.47,False,https://i.scdn.co/image/ab67616d0000b2738e81913ace9f03cf2adb2056,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX,2018,Standard,K-Pop
What a Feeling,0iSWAT0EL8TwmzcgBjKMh6,One Direction,One Direction,Made In The A.M. (Deluxe Edition),album,2015-11-13,3.34,False,https://i.scdn.co/image/ab67616d0000b2734a075ca70ae4143a37eb4fbe,https://open.spotify.com/track/0iSWAT0EL8TwmzcgBjKMh6,2015,Standard,Pop
SIGNAL,3BbfgC1wM6x5TRYgAVZYi0,TWICE,TWICE,SIGNAL,single,2017-05-15,3.28,False,https://i.scdn.co/image/ab67616d0000b2736fcf4d00261921e0363bf983,https://open.spotify.com/track/3BbfgC1wM6x5TRYgAVZYi0,2017,Standard,K-Pop
CRIMINAL LOVE,0Eglu3fErlG196PtTwCUPM,ENHYPEN,ENHYPEN,CRIMINAL LOVE,single,2023-07-31,3.59,False,https://i.scdn.co/image/ab67616d0000b27328980bc854e40cb7a31fec98,https://open.spotify.com/track/0Eglu3fErlG196PtTwCUPM,2023,Long,K-Pop
